plataforma,operacao,tempo_s,cpu_percent,mem_percent
Blockchain,insercao,1.5313549116253853,19.539375,63.654062499999995
Blockchain,leitura_1_1,0.20250490158796305,22.0828125,63.6890625
MongoDB,insercao,0.0020075343549251063,5.8003124999999995,65.0065625
MongoDB,leitura_1_1,0.006960649043321561,22.552500000000002,65.018125
PostgreSQL,insercao,0.013976507633924436,16.325625,65.005625
PostgreSQL,leitura_1_1,0.0012590929865836595,6.096875,65.00687500000001
