imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_1.tif,insercao,Blockchain,1.0287792682647705,19.6,76.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_1.tif,leitura_1_1,Blockchain,0.017252206802368164,22.2,76.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_2.tif,insercao,Blockchain,0.7911534309387207,25.4,76.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_2.tif,leitura_1_1,Blockchain,0.11754798889160156,23.6,76.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_3.tif,insercao,Blockchain,0.880305290222168,25.7,73.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_3.tif,leitura_1_1,Blockchain,0.12928223609924316,21.0,72.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_4.tif,insercao,Blockchain,0.9040982723236084,15.7,72.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_4.tif,leitura_1_1,Blockchain,0.13509559631347656,16.4,71.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_5.tif,insercao,Blockchain,1.2745299339294434,22.4,72.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_5.tif,leitura_1_1,Blockchain,0.11021208763122559,21.8,72.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_6.tif,insercao,Blockchain,0.8306190967559814,17.5,73.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_6.tif,leitura_1_1,Blockchain,0.10902547836303711,25.9,73.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_7.tif,insercao,Blockchain,0.9021444320678711,17.5,72.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_7.tif,leitura_1_1,Blockchain,0.11800503730773926,16.9,72.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_8.tif,insercao,Blockchain,0.7339491844177246,19.8,72.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\101_8.tif,leitura_1_1,Blockchain,0.1045989990234375,20.0,72.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\102_1.tif,insercao,Blockchain,0.851851224899292,16.6,72.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\102_1.tif,leitura_1_1,Blockchain,0.1103963851928711,16.7,72.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\102_2.tif,insercao,Blockchain,0.876209020614624,28.3,72.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\102_2.tif,leitura_1_1,Blockchain,0.12066817283630371,25.0,72.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\102_3.tif,insercao,Blockchain,0.75484299659729,16.8,72.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB3_B\102_3.tif,leitura_1_1,Blockchain,0.1072230339050293,20.4,72.3
