plataforma,operacao,Tempo Médio (s),Desvio Padrão (s)
Blockchain,insercao,1.5313549116253853,0.8723853284737424
Blockchain,leitura_1_1,0.20250490158796305,0.11317093459832381
MongoDB,insercao,0.0020075343549251063,0.0013697506034272004
MongoDB,leitura_1_1,0.006960649043321561,0.004198855018564126
PostgreSQL,insercao,0.013976507633924436,0.008968261218226772
PostgreSQL,leitura_1_1,0.0012590929865836595,0.00043168332838893587
