imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_1.tif,insercao,Blockchain,1.1787431240081787,15.7,65.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_1.tif,leitura_1_1,Blockchain,0.01604318618774414,33.3,65.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_2.tif,insercao,Blockchain,0.9970078468322754,20.1,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_2.tif,leitura_1_1,Blockchain,0.126420259475708,23.3,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_3.tif,insercao,Blockchain,0.9884557723999023,19.8,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_3.tif,leitura_1_1,Blockchain,0.1562974452972412,23.2,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_4.tif,insercao,Blockchain,0.9771671295166016,19.8,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_4.tif,leitura_1_1,Blockchain,0.12270021438598633,17.5,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_5.tif,insercao,Blockchain,1.065964698791504,17.4,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_5.tif,leitura_1_1,Blockchain,0.22483181953430176,23.0,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_6.tif,insercao,Blockchain,1.3257064819335938,18.0,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_6.tif,leitura_1_1,Blockchain,0.2024385929107666,17.5,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_7.tif,insercao,Blockchain,1.063776969909668,17.7,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_7.tif,leitura_1_1,Blockchain,0.14421749114990234,31.6,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_8.tif,insercao,Blockchain,1.0147638320922852,20.9,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\101_8.tif,leitura_1_1,Blockchain,0.13427209854125977,15.6,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_1.tif,insercao,Blockchain,0.9137959480285645,19.8,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_1.tif,leitura_1_1,Blockchain,0.12171506881713867,18.2,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_2.tif,insercao,Blockchain,1.1557376384735107,21.1,64.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_2.tif,leitura_1_1,Blockchain,0.1306149959564209,22.7,64.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_3.tif,insercao,Blockchain,0.9286623001098633,18.7,64.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_3.tif,leitura_1_1,Blockchain,0.1238257884979248,19.7,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_4.tif,insercao,Blockchain,1.1409053802490234,21.0,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_4.tif,leitura_1_1,Blockchain,0.12177896499633789,20.3,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_5.tif,insercao,Blockchain,1.1339821815490723,15.5,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_5.tif,leitura_1_1,Blockchain,0.1255488395690918,16.9,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_6.tif,insercao,Blockchain,1.1712536811828613,22.9,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_6.tif,leitura_1_1,Blockchain,0.12789058685302734,22.7,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_7.tif,insercao,Blockchain,0.9840092658996582,19.2,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_7.tif,leitura_1_1,Blockchain,0.14344429969787598,16.7,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_8.tif,insercao,Blockchain,1.3997468948364258,19.1,64.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\102_8.tif,leitura_1_1,Blockchain,0.1288464069366455,26.7,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_1.tif,insercao,Blockchain,0.9176537990570068,17.0,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_1.tif,leitura_1_1,Blockchain,0.1300954818725586,18.3,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_2.tif,insercao,Blockchain,0.976116418838501,21.9,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_2.tif,leitura_1_1,Blockchain,0.14917469024658203,38.7,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_3.tif,insercao,Blockchain,1.2856674194335938,22.3,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_3.tif,leitura_1_1,Blockchain,0.1367788314819336,20.3,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_4.tif,insercao,Blockchain,1.0713694095611572,22.8,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_4.tif,leitura_1_1,Blockchain,0.15021800994873047,26.8,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_5.tif,insercao,Blockchain,0.9996509552001953,17.3,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_5.tif,leitura_1_1,Blockchain,0.1416764259338379,25.0,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_6.tif,insercao,Blockchain,1.0482826232910156,21.5,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_6.tif,leitura_1_1,Blockchain,0.2232823371887207,35.6,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_7.tif,insercao,Blockchain,1.0048835277557373,19.1,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB2_B\103_7.tif,leitura_1_1,Blockchain,0.12419438362121582,18.0,65.0
