imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_1.tif,insercao,Blockchain,3.591478109359741,34.9,60.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_1.tif,leitura_1_1,Blockchain,0.0663599967956543,41.0,60.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_2.tif,insercao,Blockchain,2.734050750732422,18.1,53.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_2.tif,leitura_1_1,Blockchain,0.4254887104034424,17.8,53.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_3.tif,insercao,Blockchain,2.6069326400756836,16.5,55.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_3.tif,leitura_1_1,Blockchain,0.41408324241638184,19.4,55.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_4.tif,insercao,Blockchain,2.794630765914917,22.0,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_4.tif,leitura_1_1,Blockchain,0.33562445640563965,20.4,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_5.tif,insercao,Blockchain,2.50848388671875,17.3,55.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_5.tif,leitura_1_1,Blockchain,0.47625207901000977,23.5,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_6.tif,insercao,Blockchain,2.453099012374878,16.9,56.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_6.tif,leitura_1_1,Blockchain,0.35555338859558105,23.8,56.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_7.tif,insercao,Blockchain,2.67708683013916,19.0,56.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_7.tif,leitura_1_1,Blockchain,0.39928650856018066,16.9,56.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_8.tif,insercao,Blockchain,2.5302670001983643,17.2,57.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\101_8.tif,leitura_1_1,Blockchain,0.35413169860839844,18.8,57.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_1.tif,insercao,Blockchain,2.643850803375244,16.8,56.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_1.tif,leitura_1_1,Blockchain,0.3487701416015625,20.9,56.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_2.tif,insercao,Blockchain,2.476254940032959,17.1,56.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_2.tif,leitura_1_1,Blockchain,0.35802769660949707,17.9,57.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,insercao,Blockchain,2.39791202545166,17.0,57.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,leitura_1_1,Blockchain,0.445544958114624,28.2,57.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,insercao,Blockchain,2.765028953552246,16.4,57.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,leitura_1_1,Blockchain,0.3860039710998535,32.9,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,insercao,Blockchain,2.556011199951172,15.9,57.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,leitura_1_1,Blockchain,0.3676879405975342,26.5,57.6
