imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,leitura_1_1,PostgreSQL,0.0020630359649658203,0.0,54.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_3.tif,leitura_1_1,MongoDB,0.0028388500213623047,0.0,54.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,insercao,PostgreSQL,0.0031168460845947266,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,insercao,MongoDB,0.002862691879272461,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,leitura_1_1,PostgreSQL,0.003918886184692383,75.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_4.tif,leitura_1_1,MongoDB,0.004286050796508789,0.0,53.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,insercao,PostgreSQL,0.02109551429748535,25.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,insercao,MongoDB,0.0031375885009765625,0.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,leitura_1_1,PostgreSQL,0.0017883777618408203,0.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_5.tif,leitura_1_1,MongoDB,0.003037691116333008,0.0,56.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,insercao,PostgreSQL,0.0024983882904052734,0.0,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,insercao,MongoDB,0.0029168128967285156,0.0,55.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,leitura_1_1,PostgreSQL,0.0018608570098876953,83.3,55.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_6.tif,leitura_1_1,MongoDB,0.0031502246856689453,0.0,55.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_7.tif,insercao,PostgreSQL,0.0018646717071533203,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_7.tif,insercao,MongoDB,0.0015649795532226562,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_7.tif,leitura_1_1,PostgreSQL,0.0007381439208984375,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_7.tif,leitura_1_1,MongoDB,0.0014605522155761719,0.0,57.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_8.tif,insercao,PostgreSQL,0.021393537521362305,22.2,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_8.tif,insercao,MongoDB,0.0030052661895751953,25.0,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_8.tif,leitura_1_1,PostgreSQL,0.0013985633850097656,0.0,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\102_8.tif,leitura_1_1,MongoDB,0.0028238296508789062,0.0,55.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_1.tif,insercao,PostgreSQL,0.0023314952850341797,0.0,58.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_1.tif,insercao,MongoDB,0.0018773078918457031,60.0,58.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_1.tif,leitura_1_1,PostgreSQL,0.0015289783477783203,0.0,58.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_1.tif,leitura_1_1,MongoDB,0.0020666122436523438,0.0,58.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_2.tif,insercao,PostgreSQL,0.022171497344970703,28.6,58.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB1_B\103_2.tif,insercao,MongoDB,0.0021736621856689453,0.0,58.5
