imagem,operacao,plataforma,tempo_s,cpu_percent,mem_percent
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_1.tif,insercao,Blockchain,0.8981165885925293,18.9,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_1.tif,leitura_1_1,Blockchain,0.01689434051513672,57.1,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_2.tif,insercao,Blockchain,1.012347936630249,22.0,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_2.tif,leitura_1_1,Blockchain,0.15934205055236816,27.3,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_3.tif,insercao,Blockchain,0.9994542598724365,15.6,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_3.tif,leitura_1_1,Blockchain,0.12237310409545898,15.6,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_4.tif,insercao,Blockchain,1.0214548110961914,20.7,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_4.tif,leitura_1_1,Blockchain,0.16152381896972656,25.9,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_5.tif,insercao,Blockchain,0.9337482452392578,18.4,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_5.tif,leitura_1_1,Blockchain,0.12930679321289062,21.3,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_6.tif,insercao,Blockchain,0.9773106575012207,15.5,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_6.tif,leitura_1_1,Blockchain,0.18210315704345703,34.4,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_7.tif,insercao,Blockchain,0.9406473636627197,19.6,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_7.tif,leitura_1_1,Blockchain,0.14079737663269043,21.4,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_8.tif,insercao,Blockchain,0.9547297954559326,16.8,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\101_8.tif,leitura_1_1,Blockchain,0.1735522747039795,23.5,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_1.tif,insercao,Blockchain,1.0086042881011963,17.1,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_1.tif,leitura_1_1,Blockchain,0.13462543487548828,23.2,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_2.tif,insercao,Blockchain,0.9496338367462158,19.3,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_2.tif,leitura_1_1,Blockchain,0.13813471794128418,22.5,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_3.tif,insercao,Blockchain,1.2900900840759277,20.9,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_3.tif,leitura_1_1,Blockchain,0.12261080741882324,16.7,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_4.tif,insercao,Blockchain,0.9236025810241699,18.1,64.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_4.tif,leitura_1_1,Blockchain,0.13352608680725098,14.5,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_5.tif,insercao,Blockchain,1.1221327781677246,28.4,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_5.tif,leitura_1_1,Blockchain,0.14270234107971191,14.7,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_6.tif,insercao,Blockchain,1.1167676448822021,23.2,65.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_6.tif,leitura_1_1,Blockchain,0.1438915729522705,25.0,65.2
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_7.tif,insercao,Blockchain,1.0605242252349854,22.4,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_7.tif,leitura_1_1,Blockchain,0.12399506568908691,15.0,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_8.tif,insercao,Blockchain,0.9189872741699219,18.7,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\102_8.tif,leitura_1_1,Blockchain,0.13325071334838867,14.5,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_1.tif,insercao,Blockchain,1.0623557567596436,20.5,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_1.tif,leitura_1_1,Blockchain,0.1433546543121338,27.8,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_2.tif,insercao,Blockchain,1.0132954120635986,20.0,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_2.tif,leitura_1_1,Blockchain,0.1400890350341797,19.7,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_3.tif,insercao,Blockchain,1.069640874862671,22.1,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_3.tif,leitura_1_1,Blockchain,0.14379000663757324,21.4,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_4.tif,insercao,Blockchain,0.9819939136505127,16.3,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_4.tif,leitura_1_1,Blockchain,0.13004183769226074,16.7,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_5.tif,insercao,Blockchain,1.1098995208740234,21.7,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_5.tif,leitura_1_1,Blockchain,0.16403937339782715,30.0,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_6.tif,insercao,Blockchain,0.8869948387145996,19.7,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_6.tif,leitura_1_1,Blockchain,0.1353168487548828,22.1,65.1
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_7.tif,insercao,Blockchain,1.0869746208190918,21.4,64.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_7.tif,leitura_1_1,Blockchain,0.1591026782989502,28.9,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_8.tif,insercao,Blockchain,0.9263768196105957,15.6,64.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\103_8.tif,leitura_1_1,Blockchain,0.13578534126281738,20.9,65.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_1.tif,insercao,Blockchain,1.1265482902526855,20.8,65.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_1.tif,leitura_1_1,Blockchain,0.20531439781188965,55.0,65.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_2.tif,insercao,Blockchain,0.9864089488983154,21.4,65.8
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_2.tif,leitura_1_1,Blockchain,0.13664555549621582,15.5,65.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_3.tif,insercao,Blockchain,1.0605695247650146,22.9,65.9
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_3.tif,leitura_1_1,Blockchain,0.15450811386108398,34.6,66.0
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_4.tif,insercao,Blockchain,0.9512476921081543,18.6,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_4.tif,leitura_1_1,Blockchain,0.12811851501464844,30.0,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_5.tif,insercao,Blockchain,1.1602897644042969,16.8,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_5.tif,leitura_1_1,Blockchain,0.19800376892089844,27.7,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_6.tif,insercao,Blockchain,1.000004529953003,19.2,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_6.tif,leitura_1_1,Blockchain,0.13841605186462402,21.4,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_7.tif,insercao,Blockchain,1.1295735836029053,17.3,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_7.tif,leitura_1_1,Blockchain,0.20273065567016602,32.4,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_8.tif,insercao,Blockchain,1.1635196208953857,22.2,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\104_8.tif,leitura_1_1,Blockchain,0.19508838653564453,14.1,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_1.tif,insercao,Blockchain,0.9493775367736816,18.4,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_1.tif,leitura_1_1,Blockchain,0.1562366485595703,26.8,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_2.tif,insercao,Blockchain,1.165224552154541,20.2,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_2.tif,leitura_1_1,Blockchain,0.12386155128479004,23.0,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_3.tif,insercao,Blockchain,1.0730090141296387,17.1,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_3.tif,leitura_1_1,Blockchain,0.28811025619506836,19.0,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_4.tif,insercao,Blockchain,0.9752209186553955,20.9,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_4.tif,leitura_1_1,Blockchain,0.14278101921081543,28.8,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_5.tif,insercao,Blockchain,1.1019763946533203,16.3,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_5.tif,leitura_1_1,Blockchain,0.13032269477844238,11.8,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_6.tif,insercao,Blockchain,1.3144457340240479,22.1,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_6.tif,leitura_1_1,Blockchain,0.13332438468933105,21.3,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_7.tif,insercao,Blockchain,0.9885361194610596,17.4,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_7.tif,leitura_1_1,Blockchain,0.1405789852142334,22.7,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_8.tif,insercao,Blockchain,1.2230777740478516,24.0,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\105_8.tif,leitura_1_1,Blockchain,0.11701726913452148,21.3,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_1.tif,insercao,Blockchain,0.9375028610229492,17.8,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_1.tif,leitura_1_1,Blockchain,0.140899658203125,21.6,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_2.tif,insercao,Blockchain,1.1079764366149902,24.3,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_2.tif,leitura_1_1,Blockchain,0.13907933235168457,23.5,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_3.tif,insercao,Blockchain,1.0744743347167969,18.4,65.6
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_3.tif,leitura_1_1,Blockchain,0.11983656883239746,16.9,65.7
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_4.tif,insercao,Blockchain,1.0606434345245361,24.7,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_4.tif,leitura_1_1,Blockchain,0.1638319492340088,32.9,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_5.tif,insercao,Blockchain,1.0021755695343018,17.6,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_5.tif,leitura_1_1,Blockchain,0.13356804847717285,17.6,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_6.tif,insercao,Blockchain,1.0271623134613037,23.6,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_6.tif,leitura_1_1,Blockchain,0.15061306953430176,39.5,65.4
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_7.tif,insercao,Blockchain,0.8971929550170898,17.2,65.3
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_7.tif,leitura_1_1,Blockchain,0.1375274658203125,14.9,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_8.tif,insercao,Blockchain,1.2326085567474365,21.2,65.5
C:\Users\Giulia\Documents\TCC2\fvc-going\FVC2004\DB4_B\106_8.tif,leitura_1_1,Blockchain,0.1544656753540039,23.7,65.3
